Filename	200MP mastercurve2 (SeqTest 3)
Instrument name	
Operator	Administrator
rundate	8/8/2018
[step]
Temperature Sweep - 1
Angular frequency	Storage modulus	Loss modulus	Tan(delta)	Complex modulus	Complex viscosity	Oscillation torque	Dynamic viscosity	Out of phase component of η*	Storage compliance	Loss compliance	Time	Temperature	Oscillation strain	Oscillation stress	Phase angle	Oscillation strain (cmd)	Displacement	Computed Alpha	Delta length	Axial force	Step time
rad/s	Pa	Pa		Pa	Pa.s	g.cm	Pa.s	Pa.s	1/Pa	1/Pa	s	°C	%	Pa	°	%	rad	mm/s	mm	N	s
100.000	3330680	3596040	1.07967	4901530	49015.3	51.0697	35960.4	33306.8	1.38634e-7	1.49679e-7	2122.00	4.757	1.01637	49817.7	47.1939	1.00000	1.70750e-3	0.00000	-0.1430	0.551944	2056.00
63.0957	2539460	2841950	1.11912	3811240	60404.1	40.2482	45041.9	40247.7	1.74827e-7	1.95652e-7	2129.00	4.814	1.03015	39261.5	48.2172	1.00000	1.73065e-3	0.00000	-0.1430	0.551944	2063.00
39.8107	1933000	2224890	1.15100	2947310	74033.0	31.3463	55886.7	48554.7	2.22526e-7	2.56128e-7	2134.00	4.848	1.03749	30577.9	49.0157	1.00000	1.74298e-3	0.00000	-0.1430	0.551944	2068.00
25.1189	1473370	1726310	1.17168	2269570	90353.4	24.2231	68725.7	58655.9	2.86037e-7	3.35143e-7	2141.00	4.883	1.04113	23629.2	49.5200	1.00000	1.74910e-3	0.00000	-0.1430	0.551944	2075.00
15.8489	1128990	1330080	1.17811	1744630	110078	18.6558	83922.1	71234.4	3.70924e-7	4.36990e-7	2148.00	4.913	1.04311	18198.4	49.6749	1.00000	1.75243e-3	0.00000	-0.1430	0.551944	2082.00
10.0000	871453	1018060	1.16824	1340110	134011	14.3551	101807	87145.3	4.85249e-7	5.66887e-7	2155.00	4.939	1.04493	14003.2	49.4368	1.00000	1.75548e-3	0.00000	-0.1430	0.551944	2089.00
6.30957	679914	778976	1.14570	1033970	163873	11.0877	123459	107759	6.35977e-7	7.28637e-7	2163.00	4.960	1.04606	10815.9	48.8845	1.00000	1.75737e-3	0.00000	-0.1430	0.551944	2097.00
3.98107	535388	595880	1.11299	801070	201220	8.59820	149678	134483	8.34310e-7	9.28577e-7	2171.00	4.977	1.04703	8387.42	48.0609	1.00000	1.75901e-3	0.00000	-0.1430	0.551944	2105.00
2.51189	427101	458268	1.07298	626438	249390	6.72748	182440	170032	1.08836e-6	1.16779e-6	2180.00	4.988	1.04760	6562.56	47.0162	1.00000	1.75997e-3	0.00000	-0.1430	0.551944	2114.00
1.58489	343164	352318	1.02667	491823	310319	5.28355	222297	216522	1.41868e-6	1.45652e-6	2193.00	4.996	1.04794	5154.02	45.7540	1.00000	1.76055e-3	0.00000	-0.1430	0.551944	2127.00
1.00000	278328	271213	0.974435	388617	388617	4.17894	271213	278329	1.84295e-6	1.79584e-6	2212.00	5.006	1.04898	4076.50	44.2582	1.00000	1.76228e-3	0.00000	-0.1430	0.551944	2146.00
